,18.5,25.9,33.3,40.7,48.1,55.6,63,70.4,77.8,85.2,92.6,100,107
-5,NaN,-0.549870727,-0.414371428,-0.371721269,-0.344643652,-0.330931759,-0.318819474,-0.30867739,-0.305311582,-0.299306282,-0.299860044,-0.295866483,-0.293821081
-3,NaN,-0.273887875,-0.233218595,-0.208440482,-0.196373166,-0.191148092,-0.185276903,-0.181997281,-0.179513191,-0.1756535,-0.173168521,-0.174129351,-0.174947284
-1,NaN,-0.054762971,-0.057231359,-0.056995777,-0.057492958,-0.056944962,-0.056917939,-0.055573296,-0.056215203,-0.055912777,-0.054984177,-0.055047571,-0.054881566
1,NaN,0.125370656,0.099766003,0.086116946,0.078455043,0.073504809,0.070742727,0.067187008,0.066999459,0.064822968,0.066436324,0.064148384,0.063435437
3,NaN,0.297593995,0.262274195,0.241153276,0.228964408,0.218480081,0.213196162,0.208287182,0.205441098,0.204523028,0.201748723,0.199382647,0.198548895
5,NaN,0.427255121,0.388024974,0.366912036,0.354890499,0.342184605,0.336625788,0.327987531,0.328964586,0.32596081,0.324552924,0.318937982,0.318903786
7,0.610446917,0.524931068,0.485037122,0.458315533,0.442751322,0.432872555,0.421427748,0.415024581,0.407669584,0.406133084,0.405888244,0.401969732,0.401152185
9,0.7088666,0.624496758,0.571762609,0.543997261,0.525440862,0.514265347,0.503504189,0.493957365,0.492588301,0.48795758,0.48335954,0.483896622,0.480142606
11,0.812675264,0.728258422,0.678358673,0.644672874,0.629858785,0.613394205,0.595499052,0.591290529,0.588785115,0.579935474,0.581887308,0.573991106,0.576291706
13,0.875310313,0.796382058,0.745033957,0.708077469,0.689802081,0.674455385,0.662768753,0.655247244,0.650468556,0.647829085,0.638718717,0.638340038,0.637862942
15,0.931936197,0.857295945,0.812671469,0.786951115,0.76177544,0.74607427,0.73279416,0.727875273,0.716767026,0.711488495,0.713636356,0.709993583,0.710452162
17,0.977799835,0.899229824,0.8553043,0.821397826,0.79604943,0.788555446,0.772607686,0.767705352,0.765512483,0.756875814,0.757213878,0.753419434,0.757233362
19,0.951504663,0.871283955,0.833985959,0.803236857,0.788488471,0.773305333,0.768731309,0.764280081,0.759742727,0.751771624,0.759141879,0.75222028,0.751650782
21,0.945021745,0.86117699,0.806075619,0.775435175,0.756081213,0.741656719,0.730749765,0.728315571,0.722770625,0.722398938,0.71475852,0.712015771,0.717958768
23,0.932402559,0.858278589,0.805518455,0.769245378,0.737234931,0.721899903,0.713178523,0.697127899,0.693469328,0.699509278,0.688629692,0.687243163,0.675165493
25,0.931827277,0.847208013,0.783895694,0.754916058,0.725167439,0.70061825,0.697927065,0.683228329,0.675511395,0.673446893,0.668655024,0.669254191,0.664454967
27,0.919164092,0.838153856,0.785226965,0.749675037,0.724231324,0.709322424,0.700083183,0.68956348,0.684385801,0.67348227,0.670976432,0.668113005,0.665931329
29,0.917467408,0.841000085,0.79530174,0.758829409,0.733613563,0.718849102,0.704033396,0.696472274,0.687574329,0.686429492,0.680404655,0.67904119,0.67254699
